Date,Redraft PPR ADP,Redraft SF ADP,Redraft Half PPR ADP,Dynasty PPR ADP,Dynasty SF ADP,Dynasty Half PPR ADP,IDP ADP,Player Team,Player First Name,Player Last Name,Fantasy Player Position,Player Id,Positional Rank
"August 21, 2024",97.7,105.5,93.4,94.9,113.6,93.6,121.1,PIT,Jaylen,Warren,RB,8228,RB32
"August 21, 2024",99.5,116.6,96.5,111.4,132.2,111.1,141.9,NYG,Devin,Singletary,RB,6130,RB33
"August 21, 2024",100.8,115.2,102.2,69.7,75.4,63.7,100.7,SEA,Jaxon,Smith-Njigba,WR,9488,WR45
"August 21, 2024",101.4,38.6,99.4,51.3,11.7,50.6,28.7,CHI,Caleb,Williams,QB,11560,QB12
"August 21, 2024",102.2,110.7,107.4,117.8,124.4,119.4,132.1,PHI,Dallas,Goedert,TE,5022,TE12
"August 21, 2024",103.8,117.8,100.5,101.6,111.8,98,127,GB,Christian,Watson,WR,8167,WR46
"August 21, 2024",104.3,37.2,106.1,114.7,42.1,117.2,62.3,MIA,Tua,Tagovailoa,QB,6768,QB13
"August 21, 2024",104.6,119.5,104.5,77.3,74.8,71.5,108.2,JAX,Brian,Thomas,WR,11631,WR47
"August 21, 2024",106.7,118.6,118,119.5,126.9,121.1,140.1,HOU,Dalton,Schultz,TE,5001,TE13
"August 21, 2024",107.8,119.4,108.4,93.3,103.6,91.3,125.4,TEN,Tyjae,Spears,RB,9508,RB34
"August 21, 2024",108.8,126.1,103.9,106,127.2,105.6,146.8,WAS,Brian,Robinson,RB,8154,RB35
"August 21, 2024",109.9,39.4,113.8,122.1,47.1,127.5,71.2,DET,Jared,Goff,QB,3163,QB14
"August 21, 2024",110.2,106.2,118.7,71.6,70.1,77.1,85.5,MIN,T.J.,Hockenson,TE,5844,TE14
"August 21, 2024",111.2,125.4,111.1,110.1,123.3,109.2,142.6,DET,Jameson,Williams,WR,8148,WR48
"August 21, 2024",111.7,130.2,109.7,78.8,83.2,73.2,109.1,ARI,Trey,Benson,RB,11589,RB36
"August 21, 2024",113.5,123.3,104.3,128,149.9,122.2,157.3,LAC,Gus,Edwards,RB,5248,RB37
"August 21, 2024",114.3,127.9,110.8,141.8,161.5,140.5,162.2,DAL,Ezekiel,Elliott,RB,3164,RB38
"August 21, 2024",115.1,51.1,112,87.4,28.9,86.4,58.2,WAS,Jayden,Daniels,QB,11566,QB15
"August 21, 2024",116.8,132.6,114.2,134.5,150.2,132.2,167.9,DEN,Courtland,Sutton,WR,5045,WR49
"August 21, 2024",117.4,140.5,120,165.8,175.1,167.8,180,BUF,Curtis,Samuel,WR,4082,WR50
"August 21, 2024",118.4,135,117,119.6,137.5,118.5,159.5,CIN,Chase,Brown,RB,9224,RB39
"August 21, 2024",118.6,135.1,121.5,127,143.3,129.8,155.9,GB,Romeo,Doubs,WR,8121,WR51
"August 21, 2024",120.1,138.5,115.3,102.2,114.4,94.2,133.2,LAR,Blake,Corum,RB,11586,RB40
"August 21, 2024",121.5,127.7,129.7,115.7,118.6,115,135.9,CHI,Cole,Kmet,TE,6826,TE15
"August 21, 2024",122.7,139.4,116,133.8,151,130.7,166.9,CLE,Jerome,Ford,RB,8143,RB41
"August 21, 2024",123.9,134.5,122.5,146.3,167.7,151.3,175.8,SEA,Tyler,Lockett,WR,2374,WR52
"August 21, 2024",124,36.8,123,86.5,19.4,82,42.1,LAC,Justin,Herbert,QB,6797,QB16
"August 21, 2024",125.7,50.1,127,113.8,29.7,113.7,68.5,JAX,Trevor,Lawrence,QB,7523,QB17
"August 21, 2024",125.8,124.7,124.9,125.7,130.8,135.1,151.5,PIT,Pat,Freiermuth,TE,7600,TE16
"August 21, 2024",132.6,247.5,132.6,215.8,,234,266.7,BAL,Justin,Tucker,K,1264,K1
"August 21, 2024",134.6,249.4,134.6,218,,237.1,267.4,KC,Harrison,Butker,K,4227,K2
"August 21, 2024",138.8,247.8,138.8,221.6,,239.1,268.1,DAL,Brandon,Aubrey,K,11533,K3
"August 21, 2024",139.1,250.9,139.1,220.5,,239.5,269.8,CIN,Evan,McPherson,K,7839,K4
"August 21, 2024",142.7,142.8,125.9,140.6,153.9,141.9,172.7,BUF,Khalil,Shakir,WR,8134,WR53
"August 21, 2024",142.8,252.9,142.8,225,,278.3,271.2,ATL,Younghoe,Koo,K,4666,K5
"August 21, 2024",145.7,151.9,125.4,103.7,115.4,95.9,143.4,IND,Adonai,Mitchell,WR,11625,WR54
"August 21, 2024",146.3,143.1,144.5,145.1,159.6,143,175.7,LV,Jakobi,Meyers,WR,5947,WR55
"August 21, 2024",148.6,75.9,150.4,194.1,122.3,191.2,137.5,NYJ,Aaron,Rodgers,QB,96,QB18
"August 21, 2024",149.2,147.7,148.7,129.3,141.7,127.3,164,CLE,Jerry,Jeudy,WR,6783,WR56
"August 21, 2024",150.6,143.3,128.8,118.3,133.7,114.1,159.9,SEA,Zach,Charbonnet,RB,9753,RB42
"August 21, 2024",151.8,153.9,145.4,159.6,170.6,159.4,231.7,LAC,Joshua,Palmer,WR,7670,WR57
"August 21, 2024",152.2,148.9,149.2,99.4,109.8,99.4,147.1,CAR,Xavier,Legette,WR,11626,WR58
"August 21, 2024",153.4,151.3,130.6,147,169.7,147,179.9,CAR,Chuba,Hubbard,RB,7594,RB43
"August 21, 2024",153.5,141.2,153.9,143.2,147.3,145.9,165.2,GB,Luke,Musgrave,TE,9481,TE17
"August 21, 2024",155.3,158.7,131.8,151.6,166,149.9,178.8,LAC,J.K.,Dobbins,RB,6806,RB44
"August 21, 2024",156.6,161.6,155.6,219,226,157.6,156.6,,,,,SF,0
"August 21, 2024",156.8,145.7,147,162.1,179.9,161.3,227.9,NYJ,Mike,Williams,WR,4068,WR59
"August 21, 2024",157.4,67.7,152.8,159.9,89.7,172.4,111.1,ATL,Kirk,Cousins,QB,1166,QB19
"August 21, 2024",159.7,253.9,159.7,228.8,,279.8,271.6,PHI,Jake,Elliott,K,4195,K6
"August 21, 2024",160.2,163.1,146.6,183.5,199.7,185.9,255.2,DAL,Rico,Dowdle,RB,7021,RB45
"August 21, 2024",160.5,251.4,160.5,231.8,,281.6,270.3,SF,Jake,Moody,K,10937,K7
"August 21, 2024",162.8,65.3,166.3,200,105.6,208,124.1,LAR,Matthew,Stafford,QB,421,QB20
"August 21, 2024",163.4,162.5,155.2,132.4,140.9,124.1,173.5,MIA,Jaylen,Wright,RB,11643,RB46
"August 21, 2024",163.9,254.3,163.9,234.9,,284.7,275.1,HOU,Ka'imi,Fairbairn,K,3451,K8
"August 21, 2024",164.1,255.5,164.1,231.7,,286.4,274.5,LAC,Cameron,Dicker,K,8259,K9
"August 21, 2024",164.2,159.3,157.8,153,165.8,151.8,231.1,JAX,Gabe,Davis,WR,6943,WR60
"August 21, 2024",164.7,165.7,166.7,229,235,164.7,168.7,,,,,NYJ,0
"August 21, 2024",165.2,146.6,151.7,155,167.3,155.1,219.9,NO,Rashid,Shaheed,WR,8676,WR61
"August 21, 2024",165.4,290.7,165.4,233.8,,283.3,351.8,BUF,Tyler,Bass,K,7042,K10
"August 21, 2024",166.3,167.3,167.7,131.2,129.1,134.6,174.8,NE,Ja'Lynn,Polk,WR,11619,WR62
"August 21, 2024",167.1,79,178.6,191.8,90.8,206.2,118.3,TB,Baker,Mayfield,QB,4892,QB21
"August 21, 2024",167.6,170.5,153,178.6,194.1,177.6,244.3,MIN,Ty,Chandler,RB,8230,RB47
"August 21, 2024",169.5,173.4,156.9,150,175.5,148.2,242.3,ATL,Tyler,Allgeier,RB,8132,RB48
"August 21, 2024",170.8,159.7,177.8,138.5,131.6,138.9,171.5,WAS,Ben,Sinnott,TE,11596,TE18
"August 21, 2024",171.8,161.5,158.7,185.9,203.3,188.5,263.4,DAL,Brandin,Cooks,WR,2197,WR63
"August 21, 2024",172.7,175.6,179.3,190.2,215.7,199.3,258.2,CAR,Adam,Thielen,WR,1689,WR64
"August 21, 2024",173.9,164.3,172.9,124.3,139.3,123.4,203.9,IND,Josh,Downs,WR,9500,WR65
"August 21, 2024",174,154.5,190.3,169,173.1,175.3,222.7,TB,Cade,Otton,TE,8111,TE19
"August 21, 2024",179.5,165.8,169.7,156.6,163.7,156.2,245.1,GB,Dontayvion,Wicks,WR,9486,WR66
"August 21, 2024",181,182.3,192.9,142.5,156.4,143.7,226.5,BAL,Isaiah,Likely,TE,8131,TE20
"August 21, 2024",181.1,86.9,188.9,196.5,95.6,207.3,181.3,CLE,Deshaun,Watson,QB,4017,QB22
"August 21, 2024",183.2,155.1,167.9,203.1,215.3,201.1,255.4,NO,Taysom,Hill,TE,4381,TE21
"August 21, 2024",184.7,169.4,176.4,107.1,108.1,103.1,156.8,SF,Ricky,Pearsall,WR,11638,WR67
"August 21, 2024",185.5,166.3,174.3,166.4,187,165.2,254.4,NE,Antonio,Gibson,RB,6945,RB49
"August 21, 2024",186.4,156.7,173.1,130.8,138.2,125.7,177.1,NO,Kendre,Miller,RB,9757,RB50
"August 21, 2024",187.2,157.2,170.3,135.8,145.3,131,207.8,PHI,Jahan,Dotson,WR,8119,WR68
"August 21, 2024",188,177.8,194.7,207.4,211.6,213.9,298.3,NE,Hunter,Henry,TE,3214,TE22
"August 21, 2024",188.5,174.9,175,197.1,204.9,191.6,261.7,DEN,Jaleel,McLaughlin,RB,11439,RB51
"August 21, 2024",188.7,289.2,188.7,235.9,,291.1,353.1,MIA,Jason,Sanders,K,5119,K11
"August 21, 2024",190.6,172.9,181.6,121.6,135.1,119.7,170.8,DEN,Troy,Franklin,WR,11627,WR69
"August 21, 2024",191.9,171.2,171.9,135.3,143.6,126.5,201.7,GB,MarShawn,Lloyd,RB,11581,RB52
"August 21, 2024",192.6,181.5,181.6,181.2,193.9,181.3,262.1,ATL,Darnell,Mooney,WR,7090,WR70
"August 21, 2024",193.4,178.7,202.4,236,227.4,246.4,309.7,NYJ,Tyler,Conklin,TE,5133,TE23
"August 21, 2024",194.6,180.3,180,167,164.4,159.1,233.5,LAC,Kimani,Vidal,RB,11647,RB53
"August 21, 2024",195.2,167.3,193.8,143.1,155,142.3,213.8,LAC,Quentin,Johnston,WR,9754,WR71
"August 21, 2024",195.4,183.6,195.3,177.8,185.2,178.9,295.1,NE,DeMario,Douglas,WR,9501,WR72
"August 21, 2024",197.1,187.7,183.5,174.1,186.9,167.1,235.7,BUF,Ray,Davis,RB,11575,RB54
"August 21, 2024",198.1,205.1,205.1,220,218,198.1,196.1,DAL,Dallas,Cowboys,DEF,DAL,DEF1
"August 21, 2024",198.9,207.6,191,164.8,188.2,162.4,260.5,NYJ,Braelon,Allen,RB,11576,RB55
"August 21, 2024",199.1,188.3,195.3,193.6,195.1,183.3,257.1,NYG,Tyrone,Tracy,RB,11655,RB56
"August 21, 2024",200.2,203.5,197.6,211.5,223.1,204.5,339.6,SF,Elijah,Mitchell,RB,7561,RB57
"August 21, 2024",201.4,183.5,200,137.8,146.4,137.6,209.8,PIT,Roman,Wilson,WR,11630,WR73
"August 21, 2024",202.9,205.9,203.9,225,222,205.9,198.9,BAL,Baltimore,Ravens,DEF,BAL,DEF2
"August 21, 2024",205.1,100.7,204.1,191.2,100.5,179,182.8,TEN,Will,Levis,QB,9999,QB23
"August 21, 2024",206.9,137.7,220.8,161.6,99.9,158.6,183.2,DEN,Bo,Nix,QB,11563,QB24
"August 21, 2024",207.1,209.1,208.1,256,249,208.1,209.1,CLE,Cleveland,Browns,DEF,CLE,DEF3
"August 21, 2024",207.2,205.2,214.2,281,278,210.2,212.2,,,,,TB,0
"August 21, 2024",207.9,199.2,199.3,158.3,178.7,166,253.9,TB,Bucky,Irving,RB,11584,RB58
"August 21, 2024",207.9,208.9,207.9,246,246,204.9,208.9,,,,,PIT,0
"August 21, 2024",208.4,149,209.2,195.3,127.1,187.6,194.9,PIT,Justin,Fields,QB,7591,QB25
"August 21, 2024",208.9,214.9,208.9,,,213.9,213.9,MIA,,,,MIA,0
"August 21, 2024",209.4,186.7,205.8,148.7,158.8,146.9,236.7,CIN,Jermaine,Burton,WR,11640,WR74
"August 21, 2024",209.6,101.8,206.4,275.1,135.2,249.8,190.6,SEA,Geno,Smith,QB,1373,QB26
"August 21, 2024",210.7,213.7,214.7,,,207.7,214.7,,,,,WAS,0
"August 21, 2024",211.2,198.9,208.9,189.5,199.7,189.7,327.4,BAL,Rashod,Bateman,WR,7571,WR75
"August 21, 2024",211.2,211.2,209.2,243,243,208.2,211.2,,,,,PHI,0
"August 21, 2024",212.4,185.3,202.5,173.9,198.5,173.1,247.5,HOU,Dameon,Pierce,RB,8129,RB59
"August 21, 2024",212.8,211.8,205.8,248,247,209.8,213.8,KC,,,,KC,0
"August 21, 2024",213.8,175.5,211.9,179.3,174.4,183.8,225.8,TEN,Chigoziem,Okonkwo,TE,8210,TE24
"August 21, 2024",214.6,209.3,207.6,151.8,182,153.3,252.8,WAS,Luke,McCaffrey,WR,11650,WR76
"August 21, 2024",215.3,197.5,198.2,187.8,214.6,190.7,318.8,CHI,Khalil,Herbert,RB,7608,RB60
"August 21, 2024",215.5,,215.5,,,,,SEA,Jason,Myers,K,2747,K12
"August 21, 2024",215.9,209.9,216.9,,,215.9,217.9,,,,,SEA,0
"August 21, 2024",216.7,190.9,201.7,176,172.8,174.7,293.6,ARI,Michael,Wilson,WR,10232,WR77
"August 21, 2024",216.9,191,223.2,207.5,212.9,215.3,324.6,SEA,Noah,Fant,TE,5857,TE25
"August 21, 2024",218.5,204.5,233.8,249.2,237.9,228.7,367.3,CIN,Mike,Gesicki,TE,4993,TE26
"August 21, 2024",219.2,291.9,219.2,267.8,,,354,LV,Daniel,Carlson,K,5095,K13
"August 21, 2024",219.9,195.2,231,199.6,205.4,197.6,317.3,NYG,Wan'Dale,Robinson,WR,8126,WR78
"August 21, 2024",220.9,,230.4,123.4,75,133.2,,MIN,J.J.,McCarthy,QB,11565,QB27
"August 21, 2024",221.4,193.3,232.4,154.3,157.5,154.5,205.6,CAR,Ja'Tavion,Sanders,TE,11600,TE27
"August 21, 2024",222.6,129.7,226.5,139.1,63.4,139.5,114.8,NE,Drake,Maye,QB,11564,QB28
"August 21, 2024",223,194.8,212.2,149.9,162.1,150.8,234.8,NYJ,Malachi,Corley,WR,11617,WR79
"August 21, 2024",224,223.3,221.5,239.5,243.5,222,383.9,KC,Clyde,Edwards-Helaire,RB,6820,RB61
"August 21, 2024",225.3,121.6,228.5,157.8,84.9,169.8,183.9,CAR,Bryce,Young,QB,9228,QB29
"August 21, 2024",226.7,191.7,209.6,167.2,183.3,157.5,294.5,DEN,Marvin,Mims,WR,9494,WR80
"August 21, 2024",227.7,211.2,213.6,175.3,190.8,175.7,265.8,DEN,Audric,Estime,RB,11579,RB62
"August 21, 2024",228.4,205.7,237.3,170.1,171.3,170,259.7,NE,Javon,Baker,WR,11645,WR81
"August 21, 2024",229.6,199.3,236.6,163.6,181.8,164.1,263.4,CHI,Roschon,Johnson,RB,10235,RB63
"August 21, 2024",230.5,212.8,239.3,,262.2,,,MIA,Jonnu,Smith,TE,4144,TE28
"August 21, 2024",231,210.4,229.3,213.8,226.6,202.6,340.2,LV,Alexander,Mattison,RB,5987,RB64
"August 21, 2024",239.6,179.2,254.3,,213.7,,327.2,MIN,Sam,Darnold,QB,4943,QB30
"August 21, 2024",240.2,257.5,253.5,,292.2,297.8,,BAL,Justice,Hill,RB,5995,RB65
"August 21, 2024",241.8,207,235.8,180.8,183.9,180.6,299.5,TB,Jalen,McMillan,WR,11618,WR82
"August 21, 2024",242.9,220.4,243.1,239.6,235,219.9,343.2,TEN,Tyler,Boyd,WR,3225,WR83
"August 21, 2024",243.7,230.5,234,206.6,228.8,212.7,341.9,GB,AJ,Dillon,RB,6828,RB66
"August 21, 2024",244.1,215.4,258.1,198.8,197.2,199.2,290.6,NYG,Theo,Johnson,TE,11597,TE29
"August 21, 2024",244.2,214.4,225.2,271.1,278.5,247.7,386.6,LAR,Demarcus,Robinson,WR,3286,WR84
"August 21, 2024",246.7,225.6,222,204.1,210.9,198.4,338.9,JAX,Tank,Bigsby,RB,9225,RB67
"August 21, 2024",247,229.4,223.5,183,206.8,182.5,319.3,PHI,Will,Shipley,RB,11577,RB68
